transaction_id,order_date,ship_date,order_total,product_category,discount_pct,region
TX1013964,2026-01-13,2026-01-17,697.37,Furniture,5,Central
TX1004320,07/26/2025,2025-07-29,252.81,Office Supplies,10,North
TX1011371,04/05/2025,2025-05-11,850.75,Furniture,10,West
TX1004504,12/06/2025,2025-12-16,1605.56,Electronics ,5,Central
TX1008138,19/03/2025,2025-03-23,2410.58,Furniture,10,South
TX1009299,28/07/2025,2025-08-02,1575.63,Office Supplies,10,North
TX1007498,11/30/2025,2025-12-07,1272.39,Services,25,North
TX1010408,2025-05-21,2025-05-27,2614.62,Services,25,East
TX1008622,2026-01-11,2026-01-19,1666.86,Services,0,South
TX1005655,2026-02-17,2026-02-24,613.1,Furniture,25,North
TX1014499,2025-12-20,2025-12-29,479.92,Office Supplies,5,West
TX1003985,25/11/2025,2025-12-04,90.72,Office Supplies,5,North
TX1000669,2025-03-08,2025-03-10,1710.63,Furniture,0,Central
TX1000467,07/08/2025,2025-08-13,2361.96,Office Supplies,20,Central
TX1008788,2025-11-27,2025-12-06,1964.65,Software,5,Central
TX1000580,2025-02-02,2025-02-05,1587.98,Furniture,20,South
TX1004206,07/31/2025,2025-08-05,2631.51,Services,15,West
TX1006261,2025-09-11,2025-09-18,2302.82,Software,20,South
TX1008010,2025-12-13,2025-12-15,2571.45,Office Supplies,15,North
TX1009877,02/13/2026,2026-02-18,1321.42,Furniture,0,North
TX1008486,06/08/2025,2025-06-10,2625.06,Software,15,North
TX1010560,01/01/2026,2026-01-05,1848.83,Office Supplies,20,West
TX1000315,02/06/2025,2025-02-10,1955.25,Services,0,South
TX1002624,2025-10-15,2025-10-23,1181.67,Office Supplies,0,East
TX1003588,04/20/2025,2025-04-22,847.58,Furniture,20,Central
TX1013673,07/15/2025,2025-07-16,1992.17,Furniture,0,North
TX1012747,2025-04-12,2025-04-17,1934.75,Office Supplies,15,West
TX1006240,2025-06-30,2025-07-03,1541.88,Electronics ,25,Central
TX1002114,03/02/2025,2025-02-07,1804.43,Services,10,North
TX1006913,11/12/2025,2025-12-18,2155.05,Software,25,West
TX1010228,12/08/2025,2025-12-10,586.94,Furniture,5,West
TX1001298,05/04/2025,2025-04-14,624.81,ELECTRONICS,5,North
TX1004443,2026-01-13,2026-01-21,1425.8,Office Supplies,25,East
TX1007274,01/04/2025,2025-01-05,2015.9,Office Supplies,10,West
TX1011573,2025-08-08,2025-08-15,1637.09, electronics,20,South
TX1008046,2025-06-24,2025-06-25,816.88,Furniture,5,Central
TX1009198,2025-03-28,2025-03-30,2208.6,Furniture,10,Central
TX1008564,2025-07-30,2025-08-04,955.67,Electronics,10,Central
TX1002571,2025-01-21,2025-01-29,2307.5,Office Supplies,25,Central
TX1006454,14/11/2025,2025-11-21,2475.66,Software,25,Central
TX1000463,29/09/2025,2025-10-05,2154.15,Services,10,North
TX1005705,2025-04-01,2025-04-11,2386.7,Office Supplies,5,West
TX1003240,10/10/2025,2025-10-20,176.26,Services,25,North
TX1007694,2025-12-27,2026-01-06,1113.72,Software,20,Central
TX1013610,01/27/2025,2025-02-05,2076.23,Services,25,North
TX1001784,2025-07-15,2025-07-22,653.48,Services,20,North
TX1013581,01/03/2026,2026-01-08,1297.52,Software,20,Central
TX1008663,12/01/2026,2026-01-21,1654.74,Services,20,East
TX1000685,2026-01-16,2026-01-24,124.11,Furniture,15,North
TX1003728,08/17/2025,2025-08-22,750.63,Software,5,North
TX1008298,2026-02-12,2026-02-18,2636.43,Electronics,0,North
TX1009875,2025-04-24,2025-04-29,1232.69,Furniture,25,West
TX1013206,10/07/2025,2025-07-12,2018.32,Services,0,West
TX1000249,2025-11-11,2025-11-12,2547.54,Services,5,West
TX1005472,2025-02-07,2025-02-15,2078.95,Furniture,20,South
TX1005023,2025-12-09,2025-12-15,1068.75,Services,10,South
TX1010970,02/11/2025,2025-02-20,2058.77,Furniture,10,North
TX1010302,02/10/2026,2026-02-15,1016.48,Office Supplies,15,South
TX1004763,11/29/2025,2025-12-03,46.17,Furniture,15,East
TX1010210,01/06/2026,2026-01-13,1294.3,ELECTRONICS,15,Central
TX1001886,08/14/2025,2025-08-18,1390.28,Software,10,Central
TX1005995,01/05/2025,2025-05-04,177.3,Furniture,15,North
TX1007011,23/05/2025,2025-05-24,2550.52,Software,0,North
TX1007379,2025-06-10,2025-06-16,1361.35,Office Supplies,5,South
TX1011091,2025-06-05,2025-06-12,1904.34,Furniture,0,West
TX1008994,09/14/2025,2025-09-20,785.12,Office Supplies,5,West
TX1000926,06/29/2025,2025-07-03,1580.69,Services,5,East
TX1007980,10/18/2025,2025-10-19,1121.49,Software,5,South
TX1000689,15/07/2025,2025-07-21,1562.86,Office Supplies,5,South
TX1002568,2025-04-03,2025-04-06,2291.04,Services,10,West
TX1006308,03/08/2025,2025-08-12,60.19,Software,10,South
TX1009490,2025-07-09,2025-07-12,1169.75,Furniture,0,North
TX1006013,01/14/2026,2026-01-19,2089.78,Furniture,25,Central
TX1014529,03/01/2025,2025-01-09,1841.05,Office Supplies,20,North
TX1008285,2025-05-31,2025-06-03,1847.64,Electronics ,20,North
TX1002066,01/31/2026,2026-02-05,826.32,Software,25,East
TX1012447,2025-09-17,2025-09-21,29.67,electronics,20,West
TX1011136,2025-06-24,2025-06-28,472.12,Furniture,20,South
TX1001925,21/11/2025,2025-11-22,1101.5,Services,25,West
TX1000504,06/16/2025,2025-06-25,2661.3,Furniture,5,North
TX1011073,2026-01-22,2026-01-31,757.59,Furniture,20,Central
TX1013183,2025-09-03,2025-09-12,80.41,Furniture,10,West
TX1001152,03/12/2025,2025-03-17,2263.81,Furniture,10,Central
TX1011703,2025-07-27,2025-08-04,1902.78,Services,25,Central
TX1006777,2026-01-21,2026-01-28,57.06,Office Supplies,15,West
TX1008730,2026-03-03,2026-03-13,1519.8,Software,20,East
TX1010973,09/21/2025,2025-09-25,372.68,Furniture,15,Central
TX1010475,01/01/2025,2025-01-08,333.25,Electronics,10,West
TX1002413,02/18/2026,2026-02-22,2637.94, electronics,5,North
TX1000585,2025-08-09,2025-08-14,1199.36,Office Supplies,10,East
TX1008615,09/06/2025,2025-06-16,354.0,Furniture,25,North
TX1011796,03/31/2025,2025-04-10,1922.51,Furniture,5,South
TX1007572,2025-11-26,2025-12-02,1003.44,Furniture,25,South
TX1008403,07/28/2025,2025-07-31,296.85,Office Supplies,15,Central
TX1013297,2025-05-04,2025-05-05,1520.67,Office Supplies,10,North
TX1002505,2025-02-06,2025-02-12,2245.44,electronics,10,West
TX1011727,2026-02-15,2026-02-23,1023.11,Office Supplies,25,East
TX1001395,2025-06-25,2025-06-26,883.06,Office Supplies,20,East
TX1005758,03/09/2025,2025-09-05,2044.68,Furniture,0,East
TX1006598,2025-04-06,2025-04-16,369.44,Services,25,South
TX1001982,20/03/2026,2026-03-25,1294.46,Software,25,North
TX1005181,05/11/2025,2025-11-14,774.19,Services,10,North
TX1012787,12/05/2025,2025-05-18,2196.89,electronics,5,South
TX1011996,07/06/2025,2025-07-12,2662.75,Electronics,20,North
TX1013211,12/13/2025,2025-12-22,1352.32,electronics,20,Central
TX1008626,2025-12-13,2025-12-15,1942.88,Software,25,South
TX1006442,11/09/2025,2025-09-13,419.25,Software,25,West
TX1005809,2026-03-04,2026-03-10,2109.23,ELECTRONICS,15,Central
TX1010073,01/01/2026,2026-01-02,774.73,Office Supplies,15,West
TX1011395,29/04/2025,2025-05-03,2384.24, electronics,0,South
TX1012210,20/05/2025,2025-05-21,763.08,Furniture,25,West
TX1012242,05/08/2025,2025-05-10,2612.83,Furniture,25,South
TX1012421,10/07/2025,2025-07-15,2418.61,Office Supplies,5,Central
TX1006514,16/02/2025,2025-02-26,1596.48,Furniture,20,Central
TX1010556,31/03/2025,2025-04-02,221.26,Furniture,10,West
TX1012933,2025-04-10,2025-04-11,2190.17,ELECTRONICS,25,East
TX1001987,03/23/2026,2026-03-28,1334.16,Software,150,North
TX1002180,05/04/2025,2025-04-13,150.69,Services,20,Central
TX1008180,2025-04-16,2025-04-24,2452.89,ELECTRONICS,10,West
TX1009859,07/02/2025,2025-02-11,1865.71,Furniture,15,Central
TX1001944,2025-06-13,2025-06-21,836.96,Software,15,East
TX1003112,06/03/2025,2025-03-13,1410.71,Office Supplies,5,South
TX1004389,03/18/2025,2025-03-22,619.05,Furniture,20,East
TX1012284,10/30/2025,2025-11-09,2121.65,ELECTRONICS,10,South
TX1007821,2026-03-23,2026-04-01,357.85,Office Supplies,15,Central
TX1011406,2025-12-22,2026-01-01,111.58, electronics,15,South
TX1013300,2026-03-03,2026-03-06,437.58,Services,5,Central
TX1008296,2025-07-30,2025-08-01,1798.73,Services,5,East
TX1003198,02/19/2025,2025-02-22,1254.8,Services,15,North
TX1001260,2025-06-19,2025-06-26,1477.9,Software,10,South
TX1008309,2025-06-07,2025-06-15,1524.35,Services,25,East
TX1004114,2025-02-02,2025-02-06,2475.42,Furniture,15,West
TX1007525,2025-09-02,2025-09-08,1343.02,Office Supplies,0,West
TX1003939,10/19/2025,2025-10-28,1441.9,Electronics,25,West
TX1009195,18/12/2025,2025-12-23,2050.18,Software,5,North
TX1014114,2025-11-28,2025-11-30,1965.82,Office Supplies,25,South
TX1008647,2025-02-13,2025-02-23,224.6,Furniture,5,East
TX1004928,2025-02-11,2025-02-19,2130.85,Services,10,North
TX1004012,2026-01-09,2026-01-19,2365.74,Furniture,10,Central
TX1004381,2026-01-07,2026-01-12,2363.65, electronics,20,Central
TX1004782,2025-11-20,2025-11-21,906.36,Furniture,10,West
TX1007629,2025-11-09,2025-11-17,644.19,Software,20,North
TX1013477,2025-03-16,2025-03-20,2477.19,Furniture,25,Central
TX1006840,2025-06-07,2025-06-12,2422.96,ELECTRONICS,10,South
TX1005087,2025-01-19,2025-01-25,1960.54,Furniture,20,South
TX1008260,2026-03-19,2026-03-21,1274.04,Office Supplies,15,East
TX1014552,08/12/2025,2025-08-17,2724.62,Furniture,20,East
TX1000157,02/07/2025,2025-07-07,2019.9,electronics,20,South
TX1014100,29/10/2025,2025-10-30,2295.23,Furniture,20,East
TX1013825,02/01/2026,2026-02-10,2544.76,Services,20,Central
TX1005331,09/01/2025,2025-01-12,246.16,Office Supplies,5,South
TX1010181,05/18/2025,2025-05-25,1713.34,Software,10,West
TX1010533,2025-06-17,2025-06-27,811.6,Office Supplies,10,Central
TX1011536,09/02/2025,2025-09-06,218.92, electronics,20,East
TX1011730,2025-03-09,2025-03-13,890.63,Electronics,10,Central
TX1010992,2025-09-04,2025-09-05,850.96,Furniture,5,East
TX1012388,2025-04-13,2025-04-20,2314.54,Furniture,5,North
TX1000640,03/06/2026,2026-03-11,795.96,Furniture,20,North
TX1010575,03/08/2025,2025-03-13,2497.07,Services,20,East
TX1004667,08/05/2025,2025-08-11,2760.93,Services,0,East
TX1003042,2026-01-08,2026-01-09,1664.73,Services,25,West
TX1012435,24/05/2025,2025-06-03,571.25,Software,20,West
TX1007237,2025-04-02,2025-04-08,951.59,Furniture,15,Central
TX1001326,09/17/2025,2025-09-18,2610.72,Office Supplies,0,South
TX1010057,2025-12-09,2025-12-16,1802.07,ELECTRONICS,10,East
TX1012077,2025-11-18,2025-11-22,2125.97,Furniture,5,West
TX1012782,21/01/2025,2025-01-27,2741.83,Office Supplies,0,East
TX1006042,10/25/2025,2025-10-29,172.06,ELECTRONICS,25,East
TX1008847,10/25/2025,2025-10-31,1720.62,Electronics ,0,West
TX1007761,2025-06-15,2025-06-18,2730.74,Services,0,East
TX1010570,2025-10-27,2025-11-06,628.47, electronics,10,South
TX1007433,2025-11-28,2025-12-01,1322.04,Software,20,Central
TX1013466,2025-03-02,2025-03-12,1402.76,Services,15,East
TX1009184,09/12/2025,2025-09-14,652.23,Office Supplies,5,West
TX1005956,19/07/2025,2025-07-22,76.15,Electronics ,0,East
TX1001201,2026-03-01,2026-03-03,1366.67,Office Supplies,25,South
TX1007140,2026-01-08,2026-01-14,23.56,ELECTRONICS,15,South
TX1010012,25/02/2026,2026-03-07,2034.17,Services,10,South
TX1005495,01/16/2026,2026-01-19,175.0,Office Supplies,25,Central
TX1009388,06/14/2025,2025-06-15,1074.13,Furniture,20,South
TX1009396,09/14/2025,2025-09-17,2799.94, electronics,0,East
TX1011672,01/07/2026,2026-01-12,1682.11,Services,10,North
TX1001557,06/25/2025,2025-06-29,227.14,Furniture,5,Central
TX1010536,2025-11-15,2025-11-20,184.69,Electronics ,25,North
TX1005817,06/20/2025,2025-06-26,741.64,Office Supplies,25,Central
TX1012419,01/12/2025,2025-12-04,2582.72,Office Supplies,25,North
TX1003570,02/27/2025,2025-03-01,977.68,Electronics ,0,North
TX1005966,12/21/2025,2025-12-25,600.39,Software,15,East
TX1012252,19/05/2025,2025-05-20,1080.71,ELECTRONICS,25,West
TX1009825,10/01/2025,2025-01-17,2254.71,Services,25,East
TX1011583,10/08/2025,2025-10-14,2158.38,Office Supplies,10,South
TX1010553,2025-05-28,2025-06-05,2588.9, electronics,15,West
TX1003491,15/03/2026,2026-03-16,1128.62,Furniture,10,West
TX1009384,2025-11-20,2025-11-21,1915.87,Services,5,South
TX1013280,07/16/2025,2025-07-18,1053.83,Furniture,5,West
TX1001088,09/01/2025,2025-09-08,1492.01,Services,15,Central
TX1007287,06/25/2025,2025-07-01,2010.17,Furniture,0,West
TX1008175,2026-03-14,2026-03-21,667.07,Services,5,North
TX1008072,02/10/2025,2025-10-07,2587.03,Office Supplies,15,West
TX1013669,02/03/2025,2025-03-08,1059.43,Electronics,15,East
TX1001550,10/22/2025,2025-10-26,376.07,Software,5,Central
TX1001891,21/09/2025,2025-09-28,2127.53, electronics,10,East
TX1008544,10/03/2026,2026-03-13,690.0,Office Supplies,20,East
TX1011653,20/02/2026,2026-03-01,641.76,Electronics,0,West
TX1011049,23/04/2025,2025-05-01,1076.07,Furniture,0,South
TX1011398,11/29/2025,2025-12-08,707.87,Electronics ,15,North
TX1008692,06/06/2025,2025-06-11,342.21,Furniture,5,West
TX1007890,2025-01-20,2025-01-30,683.63,Office Supplies,0,East
TX1009615,12/31/2025,2026-01-05,2397.77,Services,20,Central
TX1008938,01/02/2026,2026-02-11,2750.57,Office Supplies,20,Central
TX1013732,07/13/2025,2025-07-14,782.29,ELECTRONICS,10,East
TX1004690,18/12/2025,2025-12-25,821.46,Furniture,10,East
TX1008970,2025-08-23,2025-08-27,53.62,Office Supplies,15,Central
TX1005470,2025-01-20,2025-01-23,242.53,Office Supplies,25,South
TX1001371,03/05/2025,2025-03-09,1902.4,ELECTRONICS,10,West
TX1011513,2025-01-24,2025-01-30,1408.6,Furniture,20,West
TX1013690,2025-04-17,2025-04-21,934.99,Furniture,0,West
TX1004674,2025-10-09,2025-10-19,2589.59,Electronics,25,West
TX1013176,09/21/2025,2025-09-24,1837.22,Services,10,South
TX1004232,2026-01-13,2026-01-21,1771.82,Software,0,East
TX1012673,2025-01-10,2025-01-19,1818.05,Software,5,South
TX1014071,17/01/2026,2026-01-27,1065.49,Electronics ,10,East
TX1008482,2026-01-27,2026-02-06,2494.21, electronics,10,Central
TX1007730,2026-02-25,2026-03-06,2064.92,Services,5,South
TX1011568,2026-02-23,2026-03-03,359.91,Furniture,15,West
TX1006991,03/24/2026,2026-03-31,2796.62,Furniture,25,East
TX1001981,05/04/2025,2025-05-05,2542.67,Furniture,15,Central
TX1011537,22/06/2025,2025-06-26,1849.54,Services,15,South
TX1006498,2025-07-31,2025-08-01,525.89,Furniture,25,Central
TX1003484,2025-07-05,2025-07-11,15.11,Software,25,South
TX1008500,08/28/2025,2025-09-04,751.43,Furniture,0,West
TX1000982,04/04/2025,2025-04-11,1583.07,Office Supplies,0,North
TX1004069,17/03/2026,2026-03-20,2253.01,Office Supplies,0,Central
TX1011608,09/04/2025,2025-09-11,2016.23,Office Supplies,20,North
TX1006813,04/06/2025,2025-04-12,399.42,Software,25,North
TX1013561,06/08/2025,2025-06-18,509.2,Office Supplies,0,West
TX1001464,2025-11-01,2025-11-11,1592.3,Electronics ,0,North
TX1010364,02/10/2026,2026-02-18,981.74,Electronics ,0,West
TX1003963,2025-02-14,2025-02-15,1925.39,Services,5,East
TX1007252,2026-01-21,2026-01-24,1717.09,Services,5,Central
TX1000770,2026-01-29,2026-02-03,2311.44,Office Supplies,5,East
TX1004554,2025-03-23,2025-03-28,815.17,Services,0,East
TX1005976,07/03/2025,2025-03-11,1732.93,Software,10,Central
TX1009744,02/10/2026,2026-02-11,749.16,Office Supplies,5,West
TX1010185,2025-08-03,2025-08-04,1136.56,electronics,5,East
TX1014179,02/12/2025,2025-02-14,958.21,Furniture,10,Central
TX1009648,2025-04-01,2025-04-10,2211.45,Furniture,15,Central
TX1011576,2025-07-12,2025-07-13,2576.77, electronics,0,West
TX1005772,2025-07-23,2025-07-28,724.43,Office Supplies,25,Central
TX1009188,03/21/2026,2026-03-27,644.41,Furniture,5,West
TX1011566,08/05/2025,2025-05-12,2674.97, electronics,5,North
TX1004617,01/05/2025,2025-05-08,1497.82,Software,0,South
TX1006134,2026-03-17,2026-03-24,1819.68,Services,20,South
TX1002843,2025-06-06,2025-06-15,2026.96,Office Supplies,5,Central
TX1004831,07/22/2025,2025-07-28,2308.09,Furniture,10,North
TX1004254,03/01/2025,2025-01-09,1888.05,Furniture,25,East
TX1000793,08/27/2025,2025-09-05,1898.83,Furniture,10,South
TX1010453,2025-06-20,2025-06-21,810.54,Services,5,West
TX1013651,07/07/2025,2025-07-10,2477.17,Services,25,Central
TX1012638,2025-03-07,2025-03-10,1912.0,Services,5,South
TX1009226,2026-03-04,2026-03-14,1834.08,Software,10,North
TX1012408,01/21/2026,2026-01-23,1464.68,Services,5,East
TX1006706,06/23/2025,2025-06-29,929.45,Software,0,North
TX1006274,04/09/2025,2025-09-10,578.73,Services,15,Central
TX1013401,2025-05-27,2025-05-31,2456.7,Office Supplies,10,West
TX1004681,10/31/2025,2025-11-02,563.81,Software,0,North
TX1007673,23/07/2025,2025-07-27,1234.48,Services,20,East
TX1011749,02/13/2025,2025-02-21,87.43,Electronics,15,West
TX1005397,2025-04-09,2025-04-14,64.22,Services,25,West
TX1013590,2025-01-02,2025-01-07,1301.03,Services,20,Central
TX1012117,11/02/2025,2025-11-03,1608.34,Electronics,20,East
TX1014165,2025-04-07,2025-04-12,735.94,Furniture,0,West
TX1006917,2025-11-20,2025-11-28,627.51,Furniture,15,South
TX1003517,01/21/2026,2026-01-30,554.08,Furniture,10,East
TX1008515,2026-02-03,2026-02-11,405.7,Office Supplies,20,West
TX1007291,2025-07-25,2025-07-26,2667.3,Furniture,25,Central
TX1008506,2025-11-22,2025-11-26,557.56,Services,15,East
TX1001275,12/18/2025,2025-12-22,1918.52,Furniture,20,South
TX1007429,2025-03-21,2025-03-23,1292.54,electronics,0,South
TX1009778,2026-02-26,2026-02-27,1271.18,Furniture,10,North
TX1003061,21/09/2025,2025-09-24,110.7,ELECTRONICS,25,North
TX1010753,2026-03-17,2026-03-26,208.42,Office Supplies,25,South
TX1006911,23/02/2026,2026-02-27,2527.81,Services,10,North
TX1005275,2025-05-13,2025-05-20,2406.73,Services,5,Central
TX1003191,02/01/2026,2026-01-11,1135.51,ELECTRONICS,0,North
TX1004107,2025-05-27,2025-05-29,623.4,Software,10,North
